datetime,device,accx,accy,accz,gyrox,gyroy,gyroz,anglex,angley,anglez,magx,magy,magz
2024-06-18 20:44:41.205934,motor,-0.9961,-0.0078,0.0059,0.0,0.0,0.0,-68.335,89.539,-148.211,-1903,-20011,-18590
2024-06-18 20:44:44.997677,motor,-0.9961,-0.0073,0.0029,0.0,0.0,0.0,-68.335,89.539,-148.211,-1907,-20025,-18611
2024-06-18 20:44:46.294960,motor,-0.9961,-0.0073,0.0029,0.0,0.0,0.0,-68.335,89.539,-148.211,-1907,-20041,-18596
2024-06-18 20:44:47.292883,motor,-0.9961,-0.0068,0.0024,0.0,0.0,0.0,-72.103,89.533,-148.206,-1919,-20017,-18592
2024-06-18 20:44:48.091149,motor,-0.9961,-0.0083,0.0024,0.0,0.0,0.0,-72.103,89.533,-148.206,-1900,-19990,-18601
2024-06-18 20:44:55.575203,motor,-0.9961,-0.0078,0.0015,0.0,0.0,0.0,-66.94,89.522,-148.211,-1909,-20042,-18611
2024-06-18 20:44:56.173861,motor,-0.9961,-0.0078,0.0015,-1299.9268,-1652.4048,264.0381,-66.94,89.522,-148.211,-1906,-20021,-18619
2024-06-18 20:44:58.868189,motor,-0.9961,-0.0073,0.0024,0.0,0.0,0.0,-116.988,-141.685,6.888,-1901,-20019,-18632
2024-06-18 20:44:59.466840,motor,-0.9961,-0.0073,0.0024,0.0,0.0,0.0,-116.988,-141.685,6.888,-1909,-20026,-18625
2024-06-18 20:44:59.865973,motor,-0.9961,-0.0073,0.0024,0.0,0.0,0.0,-116.988,-141.685,6.888,-1910,-20006,-18596
2024-06-18 20:45:00.564463,motor,-0.9961,-0.0073,0.0024,0.0,0.0,0.0,-116.988,-141.685,6.888,-1911,-20007,-18611
2024-06-18 20:45:01.462583,motor,-0.9961,-0.0073,0.0024,0.0,0.0,0.0,-116.988,-141.685,6.888,-1882,-20012,-18600
2024-06-18 20:45:01.961594,motor,-0.9961,-0.0073,0.0024,0.0,0.0,0.0,-116.988,-141.685,6.888,-1904,-19995,-18614
2024-06-18 20:45:02.161037,motor,-0.9961,-0.0073,0.0024,0.0,0.0,0.0,-116.988,-141.685,6.888,-1897,-20012,-18596
2024-06-18 20:45:03.558228,motor,-0.9961,-0.0073,0.0024,0.0,0.0,0.0,-72.719,89.544,-148.211,-1898,-20009,-18607
2024-06-18 20:45:03.957396,motor,-0.9961,-0.0073,0.0024,0.0,0.0,0.0,-72.719,89.544,-148.211,-1902,-20015,-18593
2024-06-18 20:45:04.955297,motor,-0.9961,-0.0073,0.0024,0.0,0.0,0.0,-73.504,89.544,-148.211,-1902,-20012,-18606
2024-06-18 20:45:06.152688,motor,-0.9966,-0.0073,0.001,0.0,0.0,0.0,-73.504,89.544,-148.211,-1894,-20022,-18605
2024-06-18 20:45:07.948847,motor,-0.9966,-0.0073,0.001,0.0,0.0,0.0,-74.729,89.55,-148.211,-1909,-20013,-18569
